# NOAA-derived station slugs -- input for check_beach_coverage.py

Adak Island                              | adak                                          | AK   | USA                  | 9461380 | noaa-auto
Adak Island                              | adak-island                                   | AK   | USA                  | 9461380 | noaa-auto
Adak Island                              | adak-island-ak                                | AK   | USA                  | 9461380 | noaa-auto
Alitak                                   | alitak                                        | AK   | USA                  | 9457804 | noaa-auto
Alitak                                   | alitak-ak                                     | AK   | USA                  | 9457804 | noaa-auto
Anchorage                                | anchorage                                     | AK   | USA                  | 9455920 | noaa-auto
Anchorage                                | anchorage-ak                                  | AK   | USA                  | 9455920 | noaa-auto
Atka                                     | atka                                          | AK   | USA                  | 9461710 | noaa-auto
Atka                                     | atka-ak                                       | AK   | USA                  | 9461710 | noaa-auto
Cordova                                  | cordova                                       | AK   | USA                  | 9454050 | noaa-auto
Cordova                                  | cordova-ak                                    | AK   | USA                  | 9454050 | noaa-auto
Elfin Cove                               | elfin                                         | AK   | USA                  | 9452634 | noaa-auto
Elfin Cove                               | elfin-cove                                    | AK   | USA                  | 9452634 | noaa-auto
Elfin Cove                               | elfin-cove-ak                                 | AK   | USA                  | 9452634 | noaa-auto
Juneau                                   | juneau                                        | AK   | USA                  | 9452210 | noaa-auto
Juneau                                   | juneau-ak                                     | AK   | USA                  | 9452210 | noaa-auto
Ketchikan                                | ketchikan                                     | AK   | USA                  | 9450460 | noaa-auto
Ketchikan                                | ketchikan-ak                                  | AK   | USA                  | 9450460 | noaa-auto
King Cove                                | king                                          | AK   | USA                  | 9459881 | noaa-auto
King Cove                                | king-cove                                     | AK   | USA                  | 9459881 | noaa-auto
King Cove                                | king-cove-ak                                  | AK   | USA                  | 9459881 | noaa-auto
Nikiski                                  | nikiski                                       | AK   | USA                  | 9455760 | noaa-auto
Nikiski                                  | nikiski-ak                                    | AK   | USA                  | 9455760 | noaa-auto
Nome, Norton Sound                       | nome-norton                                   | AK   | USA                  | 9468756 | noaa-auto
Nome, Norton Sound                       | nome-norton-sound                             | AK   | USA                  | 9468756 | noaa-auto
Nome, Norton Sound                       | nome-norton-sound-ak                          | AK   | USA                  | 9468756 | noaa-auto
Port Alexander                           | port-alexander                                | AK   | USA                  | 9451054 | noaa-auto
Port Alexander                           | port-alexander-ak                             | AK   | USA                  | 9451054 | noaa-auto
Port Moller                              | port-moller                                   | AK   | USA                  | 9463502 | noaa-auto
Port Moller                              | port-moller-ak                                | AK   | USA                  | 9463502 | noaa-auto
Prudhoe Bay                              | prudhoe                                       | AK   | USA                  | 9497645 | noaa-auto
Prudhoe Bay                              | prudhoe-bay                                   | AK   | USA                  | 9497645 | noaa-auto
Prudhoe Bay                              | prudhoe-bay-ak                                | AK   | USA                  | 9497645 | noaa-auto
Red Dog Dock                             | red-dog-dock                                  | AK   | USA                  | 9491094 | noaa-auto
Red Dog Dock                             | red-dog-dock-ak                               | AK   | USA                  | 9491094 | noaa-auto
Sand Point                               | sand                                          | AK   | USA                  | 9459450 | noaa-auto
Sand Point                               | sand-point                                    | AK   | USA                  | 9459450 | noaa-auto
Sand Point                               | sand-point-ak                                 | AK   | USA                  | 9459450 | noaa-auto
Seldovia                                 | seldovia                                      | AK   | USA                  | 9455500 | noaa-auto
Seldovia                                 | seldovia-ak                                   | AK   | USA                  | 9455500 | noaa-auto
Sitka                                    | sitka                                         | AK   | USA                  | 9451600 | noaa-auto
Sitka                                    | sitka-ak                                      | AK   | USA                  | 9451600 | noaa-auto
Skagway, Taiya Inlet                     | skagway-taiya                                 | AK   | USA                  | 9452400 | noaa-auto
Skagway, Taiya Inlet                     | skagway-taiya-inlet                           | AK   | USA                  | 9452400 | noaa-auto
Skagway, Taiya Inlet                     | skagway-taiya-inlet-ak                        | AK   | USA                  | 9452400 | noaa-auto
Unalakleet                               | unalakleet                                    | AK   | USA                  | 9468333 | noaa-auto
Unalakleet                               | unalakleet-ak                                 | AK   | USA                  | 9468333 | noaa-auto
Unalaska                                 | unalaska                                      | AK   | USA                  | 9462620 | noaa-auto
Unalaska                                 | unalaska-ak                                   | AK   | USA                  | 9462620 | noaa-auto
Valdez                                   | valdez                                        | AK   | USA                  | 9454240 | noaa-auto
Valdez                                   | valdez-ak                                     | AK   | USA                  | 9454240 | noaa-auto
Village Cove, St Paul Island             | village-cove-st-paul                          | AK   | USA                  | 9464212 | noaa-auto
Village Cove, St Paul Island             | village-cove-st-paul-island                   | AK   | USA                  | 9464212 | noaa-auto
Village Cove, St Paul Island             | village-cove-st-paul-island-ak                | AK   | USA                  | 9464212 | noaa-auto
Yakutat, Yakutat Bay                     | yakutat-yakutat                               | AK   | USA                  | 9453220 | noaa-auto
Yakutat, Yakutat Bay                     | yakutat-yakutat-bay                           | AK   | USA                  | 9453220 | noaa-auto
Yakutat, Yakutat Bay                     | yakutat-yakutat-bay-ak                        | AK   | USA                  | 9453220 | noaa-auto
Coast Guard Sector Mobile                | coast-guard-sector-mobile                     | AL   | USA                  | 8736897 | noaa-auto
Coast Guard Sector Mobile                | coast-guard-sector-mobile-al                  | AL   | USA                  | 8736897 | noaa-auto
Dauphin Island                           | dauphin                                       | AL   | USA                  | 8735180 | noaa-auto
Dauphin Island                           | dauphin-island                                | AL   | USA                  | 8735180 | noaa-auto
Dauphin Island                           | dauphin-island-al                             | AL   | USA                  | 8735180 | noaa-auto
Mobile State Docks                       | mobile-state-docks                            | AL   | USA                  | 8737048 | noaa-auto
Mobile State Docks                       | mobile-state-docks-al                         | AL   | USA                  | 8737048 | noaa-auto
Pago Pago, American Samoa                | pago-pago-american-samoa                      | AMERICAN SAMOA | USA                  | 1770000 | noaa-auto
Pago Pago, American Samoa                | pago-pago-american-samoa-american samoa       | AMERICAN SAMOA | USA                  | 1770000 | noaa-auto
Bermuda Biological Station               | bermuda-biological                            | BERMUDA | USA                  | 2695535 | noaa-auto
Bermuda Biological Station               | bermuda-biological-station                    | BERMUDA | USA                  | 2695535 | noaa-auto
Bermuda Biological Station               | bermuda-biological-station-bermuda            | BERMUDA | USA                  | 2695535 | noaa-auto
Bermuda, St. Georges Island              | bermuda-st-georges                            | BERMUDA | USA                  | 2695540 | noaa-auto
Bermuda, St. Georges Island              | bermuda-st-georges-island                     | BERMUDA | USA                  | 2695540 | noaa-auto
Bermuda, St. Georges Island              | bermuda-st-georges-island-bermuda             | BERMUDA | USA                  | 2695540 | noaa-auto
Alameda                                  | alameda                                       | CA   | USA                  | 9414750 | noaa-auto
Alameda                                  | alameda-ca                                    | CA   | USA                  | 9414750 | noaa-auto
Arena Cove                               | arena                                         | CA   | USA                  | 9416841 | noaa-auto
Arena Cove                               | arena-cove                                    | CA   | USA                  | 9416841 | noaa-auto
Arena Cove                               | arena-cove-ca                                 | CA   | USA                  | 9416841 | noaa-auto
Crescent City                            | crescent-city                                 | CA   | USA                  | 9419750 | noaa-auto
Crescent City                            | crescent-city-ca                              | CA   | USA                  | 9419750 | noaa-auto
La Jolla                                 | la-jolla                                      | CA   | USA                  | 9410230 | noaa-auto
La Jolla                                 | la-jolla-ca                                   | CA   | USA                  | 9410230 | noaa-auto
